constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Wexford,1,malcolm byrne,Malcolm Byrne,FALSE,FF,"12,506",running,1,20035,40382,40086,314,114483
Wexford,1,verona murphy,Verona Murphy,FALSE,FG,"9,543",running,1,20035,40382,40086,314,114483
Wexford,1,george lawlor,George Lawlor,FALSE,LAB,"8,024",running,1,20035,40382,40086,314,114483
Wexford,1,johnny mythen,Johnny Mythen,FALSE,SF,"4,125",running,1,20035,40382,40086,314,114483
Wexford,1,karin dubsky,Karin Dubsky,FALSE,GP,"2,490",running,1,20035,40382,40086,314,114483
Wexford,1,jim codd,Jim Codd,FALSE,AON,"2,102",running,1,20035,40382,40086,314,114483
Wexford,1,cinnamon black,Cinnamon Blackmore,FALSE,PBPS,659,running,1,20035,40382,40086,314,114483
Wexford,1,melissa oniell,Melissa O'Niell,FALSE,IFP,489,running,1,20035,40382,40086,314,114483
Wexford,1,charlie keddy,Charlie Keddy,FALSE,IND,130,running,1,20035,40382,40086,314,114483
Wexford,2,malcolm byrne,Malcolm Byrne,FALSE,FF,"12,660",running,1,20035,40382,40086,314,114483
Wexford,2,verona murphy,Verona Murphy,FALSE,FG,"9,620",running,1,20035,40382,40086,314,114483
Wexford,2,george lawlor,George Lawlor,FALSE,LAB,"8,112",running,1,20035,40382,40086,314,114483
Wexford,2,johnny mythen,Johnny Mythen,FALSE,SF,"4,344",running,1,20035,40382,40086,314,114483
Wexford,2,karin dubsky,Karin Dubsky,FALSE,GP,"2,745",running,1,20035,40382,40086,314,114483
Wexford,2,jim codd,Jim Codd,FALSE,AON,"2,395",running,1,20035,40382,40086,314,114483
Wexford,2,cinnamon black,Cinnamon Blackmore,FALSE,PBPS,,running,1,20035,40382,40086,314,114483
Wexford,2,melissa oniell,Melissa O'Niell,FALSE,IFP,,running,1,20035,40382,40086,314,114483
Wexford,2,charlie keddy,Charlie Keddy,FALSE,IND,,running,1,20035,40382,40086,314,114483
Wexford,3,malcolm byrne,Malcolm Byrne,FALSE,FF,"13,082",running,1,20035,40382,40086,314,114483
Wexford,3,verona murphy,Verona Murphy,FALSE,FG,"9,943",running,1,20035,40382,40086,314,114483
Wexford,3,george lawlor,George Lawlor,FALSE,LAB,"8,517",running,1,20035,40382,40086,314,114483
Wexford,3,johnny mythen,Johnny Mythen,FALSE,SF,"4,665",running,1,20035,40382,40086,314,114483
Wexford,3,karin dubsky,Karin Dubsky,FALSE,GP,"3,037",running,1,20035,40382,40086,314,114483
Wexford,3,jim codd,Jim Codd,FALSE,AON,,running,1,20035,40382,40086,314,114483
Wexford,3,cinnamon black,Cinnamon Blackmore,FALSE,PBPS,,running,1,20035,40382,40086,314,114483
Wexford,3,melissa oniell,Melissa O'Niell,FALSE,IFP,,running,1,20035,40382,40086,314,114483
Wexford,3,charlie keddy,Charlie Keddy,FALSE,IND,,running,1,20035,40382,40086,314,114483
Wexford,4,malcolm byrne,Malcolm Byrne,FALSE,FF,"14,729",running,1,20035,40382,40086,314,114483
Wexford,4,verona murphy,Verona Murphy,FALSE,FG,"10,836",running,1,20035,40382,40086,314,114483
Wexford,4,george lawlor,George Lawlor,FALSE,LAB,"10,907",running,1,20035,40382,40086,314,114483
Wexford,4,johnny mythen,Johnny Mythen,FALSE,SF,,running,1,20035,40382,40086,314,114483
Wexford,4,karin dubsky,Karin Dubsky,FALSE,GP,,running,1,20035,40382,40086,314,114483
Wexford,4,jim codd,Jim Codd,FALSE,AON,,running,1,20035,40382,40086,314,114483
Wexford,4,cinnamon black,Cinnamon Blackmore,FALSE,PBPS,,running,1,20035,40382,40086,314,114483
Wexford,4,melissa oniell,Melissa O'Niell,FALSE,IFP,,running,1,20035,40382,40086,314,114483
Wexford,4,charlie keddy,Charlie Keddy,FALSE,IND,,running,1,20035,40382,40086,314,114483
Wexford,5,malcolm byrne,Malcolm Byrne,FALSE,FF,"18,830",running,1,20035,40382,40086,314,114483
Wexford,5,verona murphy,Verona Murphy,FALSE,FG,,running,1,20035,40382,40086,314,114483
Wexford,5,george lawlor,George Lawlor,FALSE,LAB,"14,476",running,1,20035,40382,40086,314,114483
Wexford,5,johnny mythen,Johnny Mythen,FALSE,SF,,running,1,20035,40382,40086,314,114483
Wexford,5,karin dubsky,Karin Dubsky,FALSE,GP,,running,1,20035,40382,40086,314,114483
Wexford,5,jim codd,Jim Codd,FALSE,AON,,running,1,20035,40382,40086,314,114483
Wexford,5,cinnamon black,Cinnamon Blackmore,FALSE,PBPS,,running,1,20035,40382,40086,314,114483
Wexford,5,melissa oniell,Melissa O'Niell,FALSE,IFP,,running,1,20035,40382,40086,314,114483
Wexford,5,charlie keddy,Charlie Keddy,FALSE,IND,,running,1,20035,40382,40086,314,114483
